"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
2-08-20,"Bryson City","Swain",35.434767,-83.442133,8,2,22.5,NA
2-08-20,"Castle Hayne","New Hanover",34.364167,-77.838611,8,2,16.5,39
2-08-20,"Clemmons Middle","Forsyth",36.026,-80.342,8,2,22,NA
2-08-20,"Durham Armory","Durham",36.0329550008979,-78.904037,8,2,40.3333333333333,39
2-08-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,8,2,7,44
2-08-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,8,2,33.75,34
2-08-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,8,2,26.75,NA
2-08-20,"Leggett","Edgecombe",35.988278,-77.5843,8,2,31.5,40
2-08-20,"Linville Falls","Avery",35.972347,-81.933072,8,2,8,NA
2-08-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,8,2,25.5,NA
2-08-20,"Millbrook School","Wake",35.856111,-78.574167,8,2,42.75,34
2-08-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,8,2,31.5,NA
2-08-20,"West Johnston Co.","Johnston",35.59095,-78.4622,8,2,30,NA
2-09-20,"Bryson City","Swain",35.434767,-83.442133,9,2,29,NA
2-09-20,"Castle Hayne","New Hanover",34.364167,-77.838611,9,2,13,36
2-09-20,"Clemmons Middle","Forsyth",36.026,-80.342,9,2,32.5,NA
2-09-20,"Durham Armory","Durham",36.0329550008979,-78.904037,9,2,41.5,35
2-09-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,9,2,NA,46
2-09-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,9,2,23.3333333333333,36
2-09-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,9,2,35,NA
2-09-20,"Leggett","Edgecombe",35.988278,-77.5843,9,2,17.5,34
2-09-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,9,2,37,NA
2-09-20,"Millbrook School","Wake",35.856111,-78.574167,9,2,35,36
2-09-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,9,2,10,NA
2-09-20,"West Johnston Co.","Johnston",35.59095,-78.4622,9,2,31,NA
2-10-20,"Bryson City","Swain",35.434767,-83.442133,10,2,36.5,NA
2-10-20,"Castle Hayne","New Hanover",34.364167,-77.838611,10,2,6.5,38
2-10-20,"Clemmons Middle","Forsyth",36.026,-80.342,10,2,36.5,NA
2-10-20,"Durham Armory","Durham",36.0329550008979,-78.904037,10,2,40,32
2-10-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,10,2,1,44
2-10-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,10,2,37.5,24
2-10-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,10,2,47.3333333333333,NA
2-10-20,"Leggett","Edgecombe",35.988278,-77.5843,10,2,20.5,34
2-10-20,"Linville Falls","Avery",35.972347,-81.933072,10,2,14,NA
2-10-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,10,2,39,NA
2-10-20,"Millbrook School","Wake",35.856111,-78.574167,10,2,40,27
2-10-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,10,2,23,NA
2-10-20,"West Johnston Co.","Johnston",35.59095,-78.4622,10,2,31.5,NA
2-11-20,"Bryson City","Swain",35.434767,-83.442133,11,2,25,NA
2-11-20,"Castle Hayne","New Hanover",34.364167,-77.838611,11,2,13,21
2-11-20,"Clemmons Middle","Forsyth",36.026,-80.342,11,2,19,NA
2-11-20,"Durham Armory","Durham",36.0329550008979,-78.904037,11,2,31,24
2-11-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,11,2,3,34
2-11-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,11,2,32.25,19
2-11-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,11,2,32.6666666666667,NA
2-11-20,"Leggett","Edgecombe",35.988278,-77.5843,11,2,14,27
